"user_id","june_amount","core"
722932,472.6051674,"not_core"
723474,502.4578627,"not_core"
723511,312.9060262,"not_core"
724053,449.5748306,"not_core"
725382,280.3447151,"not_core"
725672,1496.9407183,"core"
726735,500.1799069,"not_core"
726801,605.8079211,"not_core"
726879,928.5916186,"not_core"
729837,520.3604467,"not_core"
730560,845.6013439,"not_core"
731338,460.4998477,"not_core"
732295,2733.7005006,"core"
732560,306.9681926,"core"
733233,183.2771828,"not_core"
733356,359.5350786,"not_core"
733459,338.3576259,"core"
735002,886.1338097,"core"
735419,703.4253671,"not_core"
736637,1336.620878,"not_core"
736721,712.3746953,"not_core"
737747,158.148046,"core"
738057,2079.360656,"core"
738854,234.4984997,"not_core"
739009,810.1958553,"core"
740992,210.9516444,"not_core"
741188,842.5908183,"core"
742205,635.0940295,"not_core"
743010,1707.708828,"not_core"
743288,791.3598411,"not_core"
743293,1346.598118,"not_core"
744048,998.3454888,"not_core"
745133,253.1482565,"not_core"
745420,1750.219934,"not_core"
745635,537.5257868,"not_core"
745847,601.2762021,"not_core"
746057,259.1344825,"not_core"
748363,303.0151621,"core"
748409,577.1984989,"not_core"
750206,407.4823654,"core"
751072,131.9709379,"not_core"
751135,1452.880886,"core"
755113,912.4326741,"not_core"
758463,389.3703058,"not_core"
759593,169.8513616,"not_core"
761133,767.3483711,"core"
762757,654.4701822,"not_core"
762771,350.4333314,"not_core"
768641,205.1836265,"not_core"
769330,383.3902558,"not_core"
770375,213.9046808,"not_core"
771657,6655.35968911,"core"
777211,308.16039,"not_core"
777671,607.6816559,"not_core"
778122,2579.349272,"not_core"
785659,605.7572995,"not_core"
788343,517.1368671,"not_core"
788528,4414.8088915,"core"
790009,302.0456639,"not_core"
798035,930.3026583,"not_core"
800028,483.4842075,"not_core"
800989,568.5209405,"not_core"
803602,807.2111741,"not_core"
819743,619.0964396,"not_core"
833343,979.2566216,"not_core"
836098,1394.5568964,"not_core"
843404,292.2690525,"not_core"
843740,910.6494973,"not_core"
843953,246.0420317,"not_core"
845060,1061.9398244,"core"
847654,752.1012523,"not_core"
849586,458.627837,"not_core"
849789,884.8802956,"not_core"
850594,116.9254226,"not_core"
854874,371.2918327,"not_core"
879603,264.0124894,"not_core"
883570,140.4816361,"not_core"
889896,879.4601416,"not_core"
891596,477.5766017,"not_core"
894487,330.5723833,"not_core"
894560,290.3580182,"not_core"
898383,542.8446471,"core"
899520,1449.8095469,"core"
903750,185.8462428,"not_core"
910337,1071.11732,"not_core"
910715,357.6530707,"not_core"
917051,319.543853,"not_core"
917244,700.1465998,"not_core"
917745,388.1351019,"not_core"
918284,901.2656234,"not_core"
918896,653.0242332,"not_core"
919061,412.229987,"not_core"
919815,149.0026665,"not_core"
921294,203.5261622,"not_core"
922206,316.1117148,"not_core"
924821,309.5356305,"not_core"
926722,109.3406249,"not_core"
929528,135.201649,"not_core"
932226,1207.266858,"not_core"
932848,244.7177006,"not_core"
933476,505.8297876,"not_core"
934758,258.934561,"not_core"
936136,792.0906644,"not_core"
938137,407.0724839,"not_core"
941253,286.6099059,"not_core"
942420,220.595809,"not_core"
943596,106.6754034,"not_core"
944685,89.44980475,"not_core"
946274,196.6697787,"not_core"
946277,777.2625652,"core"
947445,707.8138859,"not_core"
948455,181.8328877,"not_core"
950934,639.1855913,"not_core"
951032,335.9076611,"not_core"
952084,235.7709718,"not_core"
952198,385.999488,"not_core"
952386,707.3240009,"not_core"
954037,306.376528,"not_core"
957801,350.4304629,"not_core"
958424,302.4807055,"not_core"
958817,686.4468324,"not_core"
960002,207.7243616,"not_core"
962348,780.5101759,"not_core"
962975,185.7027658,"not_core"
963575,329.5742756,"not_core"
964054,960.1300984,"core"
969091,312.96389,"not_core"
970026,510.1503978,"not_core"
971862,679.2697831,"core"
974742,305.40141,"not_core"
980876,736.9063302,"not_core"
986667,1080.91989,"not_core"
987351,540.0061348,"not_core"
990750,326.4452907,"not_core"
991023,249.1782627,"not_core"
991345,1540.0004567,"core"
995513,757.0595167,"not_core"
995784,477.1197819,"not_core"
996096,219.1238254,"not_core"
996481,829.5733465,"not_core"
996817,231.4947593,"not_core"
997618,1650.0533092,"core"
998357,714.3743902,"not_core"
999536,944.513971,"not_core"
999847,833.9861372,"not_core"
1001106,768.2378299,"not_core"
1001464,468.2846785,"not_core"
1001790,408.6186882,"not_core"
1002410,663.99726,"core"
1002460,359.5662937,"not_core"
1004284,421.993237,"not_core"
1004366,403.9071447,"not_core"
1005000,1119.138734,"not_core"
1005310,879.8157574,"not_core"
1005499,1129.449059,"not_core"
1005953,896.9641597,"not_core"
1006067,675.1386721,"not_core"
1006307,676.579585,"not_core"
1006843,562.9858726,"not_core"
1007216,821.6402484,"not_core"
1007535,5403.817192,"core"
1007913,309.3533244,"not_core"
1009368,598.8693627,"not_core"
1010430,765.0238032,"not_core"
1011605,591.5698052,"not_core"
1011669,217.7714157,"not_core"
1011677,542.5357799,"not_core"
1011736,2012.1155515,"core"
1012307,233.3427023,"not_core"
1012345,925.0612668,"not_core"
1012858,901.5647725,"not_core"
1013598,532.3613107,"not_core"
1013643,264.4497387,"not_core"
1013708,552.0290661,"not_core"
1013905,261.373335,"not_core"
1014583,139.6295909,"not_core"
1015214,643.9347271,"core"
1015813,209.0169703,"not_core"
1015924,289.4928701,"not_core"
1017038,354.3151552,"not_core"
